timestamp,lat,long,bssid,signal_dbm,frequency,channel,ssid,devicename
20251022_021619,26.672946,-81.807837,28:70:4e:d0:88:30,-45,2412,1,Bermuda,pole 08
20251022_021619,26.672946,-81.807837,28:70:4e:d0:88:31,-46,5745,150,Bermuda,pole 08
20251022_021619,26.672946,-81.807837,2e:70:4e:d0:88:30,-46,2412,1,Bermuda Guest WIFI,pole 08
20251022_021619,26.672946,-81.807837,2e:70:4e:d0:88:31,-46,5745,150,Bermuda Guest WIFI,pole 08
20251022_021619,26.672946,-81.807837,28:70:4e:d0:87:dc,-69,2462,11,Bermuda,pole 07
20251022_021619,26.672946,-81.807837,2e:70:4e:d0:87:dc,-69,2462,11,Bermuda Guest WIFI,pole 07
20251022_021619,26.672946,-81.807837,28:70:4e:d0:88:f6,-75,2437,6,Bermuda,pole 02 E
20251022_021619,26.672946,-81.807837,28:70:4e:d2:8b:2d,-76,2462,11,Bermuda,pole 02 N
20251022_021619,26.672946,-81.807837,2e:70:4e:d0:88:f6,-77,2437,6,Bermuda Guest WIFI,pole 02 E
20251022_021619,26.672946,-81.807837,2e:70:4e:d2:8b:2d,-77,2462,11,Bermuda Guest WIFI,pole 02 N
20251022_021619,26.672946,-81.807837,2e:70:4e:d0:89:20,-79,2412,1,Bermuda Guest WIFI,pole 01 S
20251022_021619,26.672946,-81.807837,62:22:32:16:00:d3,-81,5240,49,Bermuda Guest WIFI,laundry2
20251022_021619,26.672946,-81.807837,60:22:32:16:00:d3,-81,5240,49,Bermuda,laundry2
20251022_021619,26.672946,-81.807837,2e:70:4e:d0:89:0b,-82,2412,1,Bermuda Guest WIFI,pole 10
20251022_021619,26.672946,-81.807837,28:70:4e:dd:d3:1f,-85,2462,11,Bermuda,pole 01 NE
20251022_021619,26.672946,-81.807837,2e:70:4e:dd:d3:1f,-86,2462,11,Bermuda Guest WIFI,pole 01 NE
20251022_021619,26.6729385,-81.80782333333333,2e:70:4e:d0:88:30,-42,2412,1,Bermuda Guest WIFI,pole 08
